ˇ ˇ
ㄖㄣˇ 忍稔荏腍棯栠荵㣼栣秹菍䄒𢆉㲽䏰䇮䭃𩑉𦫸𦬄𪌿
ㄖㄣˊ 人任仁壬紝儿芢銋妊軠鵀朲忎姙絍䋕鈓𡰥忈秂㸒魜𨿂𪀼𢇦𠔽𤯔𡜟𢓩𨿃
ㄖㄣˋ 任認刃飪賃軔衽紉妊恁仞訒韌牣鵀屻肕軠壬紝葚銋刄忹杒姙㤛㶵梕絍䋕袵鈓靭餁㠴䀔𣅉𧴬𦷺𩵕𪔺𢁯𡜟𢓩𦨔𢂻𤇲𥾠㸾𦜙𧙨𨉃𤏼𣞵
ㄖㄤ 嚷
ㄖㄤˇ 嚷壤攘爙穰蠰躟𣀮䑋𢐿𥗝𧐀𥀶𦦶𢺖𠧑𧖗
ㄖㄤˊ 攘禳穰勷瀼瓤儴獽蘘鬤𣀮䉴𨟚𩆶𦷠𤢢𧁁𧂘𥀶𢺖𤅑𧅍𨳃𤅭
ㄖㄤˋ 讓懹誏瀼𦦬𤅑𤅭𧮨
ㄖㄥ 扔仍𢫨
ㄖㄥˇ 扔
ㄖㄥˊ 仍礽陾扔艿㭁䄧㺱䚮辸𠧟𨸐𧦛𧦯𦮘𧥰𠨅
ㄖㄥˋ 扔芿
ㄖㄨˇ 乳汝辱擩女侞入儒肗㨎𡫽𡜃𪏮𡭋𥨲𩍥𦘽𦜘𡬊
ㄖㄨˊ 如儒孺茹蠕嚅濡袽襦鴽筎臑醹挐薷銣曘燸帤蕠需懦侞洳蒘蝡壖嬬擩檽瓀繻邚桇㐡偄愞渪䘫瑌顬鱬𦭰㾒𠤥𣹤𡦗𡦘𠟺鴑𧔀𧔇䞕䰰𠱒𣭄𨚴𣭠𥞚𧊟𦳾𣖹𩶯𩸐𡄲𠭠𣸏𨾯𠍶𦷸𨾵𡢉𣽉𣽈𣚐𧑮𧝄𧹸𨢾𧞳䫱䰭𩻞𩴶
ㄖㄨˋ 入辱褥孺茹洳縟蓐溽鄏媷嗕肉耨銣擩宍傉䅶㾒䄾㦺𣯋𡦗𡦘㹘𢖵𢟲𪑾𩱜𠕎𥤰𢛚𢟹𢾯𦸳𩱨
ㄖㄨㄛˋ 若弱箬偌爇鄀篛蒻楉鶸婼渃搦叒掿焫搻䐞𤑔𤣼𨀝𦩸𣞆𧃪𠭀𡧻𠭞𠭚𢐅𦳼𦴈𡻦𦱡𦱢𦱶𣁞𤑒𧁇
ㄖㄨㄟˇ 蕊橤繠惢桵蕋蘂蘃𣛚𥳝𡯒𦁞𧄜
ㄖㄨㄟˊ 蕤緌婑甤䅗㧫䅑䔀䬐𩗯𣬗𦼆𡣉
ㄖㄨㄟˋ 瑞銳芮睿蚋叡枘汭壑濬䇤㕡蜹鋭𠮉𤀹㪫㲊䥧䄲㓹䓲𧮸𣽊𤩅𤩋𨧨𤫀䭨𠛙䂱𨳙𣥸𢏴𨦣壡𣦲
ㄖㄨㄢˇ 軟阮蠕耎蝡瓀緛礝朊卵需堧䆓偄媆瑌腝㜛輭䪭䎡㮕䓴碝𦶇䙇䞂𧔀𧔇𥩗𨒩㓴𤧠㼱𥯬𥱇𦺾𥊶𥎘𠬫𡰺𥩕𢘎𢘧𠭠𤭀𨋚𠭼𥧐𧏦𥕷𥨏𩏈𧸀𨅲𨉿
ㄖㄨㄢˊ 堧壖撋㧫𤲬㽭𢱾𥈇𣽳𤳟𪃉𡑂
ㄖㄨㄢˋ 𨨰𨬔
ㄖㄨㄣ 犉
ㄖㄨㄣˇ 𠷀
ㄖㄨㄣˊ 犉𩀋𤜀𤜃
ㄖㄨㄣˋ 潤閏橍撋䦐㠈䦞𥹿
ㄖㄨㄥˇ 冗茸氄傇軵宂坈搑䢇縙䩸𢫨𣭲㲝𣮪𣯏㲨𣯍𧜈𨍷𡦼𣲽𡊸𤘺𡖢𢦿𧉡𩚗𨍅𦔋𩒷𪕎𤘻𣮩𩉪𥧢𩊐𧝢𥎜𧝻𣰲𩍮
ㄖㄨㄥˊ 容榮融溶絨熔戎蓉鎔茸榕羢嶸瑢肜毧狨瀜茙烿蠑爃媶榵褣駥髶鰫鷛頌娀傛軵嵱葺濴鑅㝐荣峵㭜䡆䇯䘬搑穁縙螎㘇嬫濚䡥䩸曧鱅𠕺𠈋㼸䮅䈶䠜𨍷𥨳䇀𩮠𤇽𥑳𥬪𣮹𥎂𧎣𩣊𨲟𦗨𤮡𩮙𩍉𪃾𩎂𢍻𥃼𢦦栄𨒆𨊶𩉪𥍾𦶪𩊐𤮇𩔜𩤭𩍮𧖓
ㄖㄨㄥˋ 縙𩼅
ㄗ 資茲滋吱姿咨孜諮貲玆ㄗ輜淄齜緇孳粢髭嵫菑鎡鼒孖澬甾鄑鯔錙趑椔鈭鶅齍栥紎崰秶蠀仔次恣訾齊茬絘觜薋齐亝斉姕䊷兹赼䣎嗞孶葘趦鍿頿䄢𢆶㠿茊斊㰣湽𡙠䅔㿳稵䎩䨏㽧䲿䆅頾𪗉𧞓𩆂鰦鷀𪑿𠀢𣳩䖪𣣊𥚉禌𧚵䰵𥻍𧛏𥀖𧜍𨝳𩜊𡗈𣚀𦺱𥣓𥼻𪗋𪅵𪗐𡕓𠚀𠙾𠚋𣢃𡥝𣳯𤰭𥾒𨚖㰷𥸷𨒮𡸟𢃌𧿞𦱳𦁃𣣬𨀥𣻲𥀋𦵰𥀑𦸜𨝶𩑽𥀜𦃠𨍟輺𨿴𪔄𣚁𤀮𦄛𧷕𨲝𧀗𦿨𨎜𨲦𩄚𤂇𨟕𪕑𪕊𧬟𧾕𩞮𩆃𩺅𪗶𢇖𩻨𩼑𪗑𪘿𧥕𢀐
ㄗˇ 子仔紫梓籽滓耔訾笫秭胏茈吇杍芓呰矷釨訿姊㜽㞨䦻㺭姉秄虸啙榟𡥎㧗𦬷㾅𦛛䔂𠂔𠥽𥫞𥬳𦞤𥲕𡛷𡿹𣫰𤴹𦛎𦙰𡋜𦭄𠡸𦚘𦚙𦚮𣕓𡐫𠙭𧩢𢀇𢀈𤺒𢀉𧬟
ㄗˋ 自字恣漬眥孳剚胔胾扻倳牸磧芓絘茡㹀眦㧘㫮𦙼䐉㱴𦎸𣄮𣧋𠡯𣧸䅆𣓊𣣌𥿩𦍺𧧕𧨴𧂐𦣹𦣼𥤪𡥜𡥝𢙊𥝭𣢙𦚚𣣰𦛹𨈻𤸾𥈐𣿙𨧫𣩬𦏙𩐍𢇖𢀐
ㄗ˙ 子㜽𣕓
ㄗㄚ 紮匝咂唼嘁抸鉔臢帀沞迊紥㦫𠯗䞙𣤶𠶴𣗁𥔨𧌃𣤷𠛱𠴴𣤺
ㄗㄚˇ 䱹鮺𩼻
ㄗㄚˊ 雜咱砸偺雥磼拶喒嘁巀㑑䆘䪞㗤雑嶻襍㭮䨿韴𩵢𢶍𡁕𤄔囐𠰙𣴖𢽷𠸻𦾬𧾁𧬩𤄖𣠛𢭓㳨𩇺𧾓𢹵𥷩
ㄗㄜˇ 怎
ㄗㄜˊ 則責擇澤嘖窄舴咋幘笮賾迮齰崱萴謮蠌賊蠈柞磧伬岝捑樍檡簀鍘鸅岅択沢岞㳻㖽飵嫧䞰耫鰂䥷鱡䶦㟙戝溭㣱㥽𥯧𦟜𧍡𢍰𣿐皟瞔䯔𧐐䟄𩔳𡇠𡸦𥍱𩂖𣤈𥎍𩿞𣛸𥼃䕉𡽞𥴹𩄾𨆎𩌪𩏪𡘅䇥𥬚𥬛𠞋𧵪𧵩𩨛𠟔𧶌𨕠𠟭𣽎𤖓𥯭𨖊𩿌𠟻𢅙𤀎𧶷𡁃𥎏𧷤𧒿𡄙
ㄗㄜˋ 仄側昃庂稄唶崱汄昗諎夨㳁𠩩歵𠨻𡸈𡹨𣆽𢯩𢧠𥟔𠨮𡵗𤴩𣅳𣅛𣅦𧬢
ㄗㄞ 災栽哉渽賳菑灾烖睵𢦏𤆎𤆲𦞁𦳦𢦔𣔮𡿧𤆋㦲𢎇𠳆𣴮𣒭𤈮𥅰𤉣𥯒𦸜𥲞
ㄗㄞˇ 仔宰崽載縡滓儎䏁𤝖𠎶㱰𣪮𤌊䮨𠈾𦭄𡨔𡔬𡨧𤱱𡙚𨌏𡙺𡪤
ㄗㄞˋ 在再載饡扗洅䬤儎𠕂𨚵𧯥𨀬𩛥𩛳䵧𡉠𡔬𤱱𥩴𡙚𨌏𨛚𡙺𢀃𩟪
ㄗㄞ˙ 在
ㄗㄟˊ 賊戝𦽒𨆎𧵪
ㄗㄠ 遭糟蹧傮慒鰽㷮㯥醩㡟𦵩𣍖㯾𥀛𨤇𢘄𨠷𣩒𨗐𨘜𠑤𢥱𨣹𤓗𨙠𥽾𨤈
ㄗㄠˇ 早棗澡藻蚤璪繰慅溞瑵璅瘙糔鄵枣䗢薻𠄬𧎮㿋䲃𨚰𨎮𢑖𧈠𣅼䖣𣕿𧁑𧁍𧃡𧄩𧅂
ㄗㄠˊ 鑿𨖐𣪲𣪻𨗩𣫞䥣𦦹𣫩𨰒𣫫𪚆
ㄗㄠˋ 造皂燥噪慥譟灶躁皁趮矂漕糙喿劋幧懆氉簉鐰艁䒃謲竈𣅖唕𧻰𣴢𥥗𠴵𤟀𢲵𨒽𦯑𠹏𨕡𤍜𦹢𤏟𥨫𨅶𤅍𥩋
ㄗㄡ 鄒謅鄹諏啁掫菆陬騶鯫棸緅棷郰媰黀齱齺娵邹箃𠿈𣙻䑼𪘸㻓𨜗𨃘𥋜𣠏𨛃𨛄𦮆𨜈𡦅𧩖𧩞𨂓𨝮𧩻𨽁𩣿𪎪𪘴𪙗
ㄗㄡˇ 走赱㞫𨑿𣥕𧺆
ㄗㄡˋ 揍奏驟楱㵵㔌𧭍䠫𠁾𦚲𧡣𨂡𨨯𪃆𥶈𩼦㔿𠭡𠭕𡘶𡴝𢽥𡲱𡲯𡙹𡳡𡴨𩈟
ㄗㄢ 簪鐕撍簮鐟兂𡡖䐶䍼𠒀𥳋𨙏𥸢𢏵𥯓𥱄𦏋𥶟
ㄗㄢˇ 拶攢寁昝禶喒儹揝礸噆趲㳫撍儧攅䟎𠝩㭮𨖋𣤶𩯳䰖𡜏𣸄𢄤𨘄𢭓𢧺𢹵𣤺𨳄
ㄗㄢˊ 咱偺糌喒㑑
ㄗㄢˋ 贊暫讚鏨瓚酇灒囋臢劗禶䬤賛濽鄼櫕瓉鏩讃穳襸㔆㣅𩛻𥣪㜺𧄽𩟌𢑊𥝺𠟆𣩳𡂐
ㄗㄣˇ 怎
ㄗㄣˋ 譖䫈
ㄗㄤ 髒贓臢牂臧㮜賍贜𢍿匨羘𢈜𤛻𤃼𤜐𤘚䍧𤖁䍭𠗱𦎆𡒤𡒉𧷢𩦦
ㄗㄤˇ 駔髒驡𩦦
ㄗㄤˋ 藏臟葬奘塟蔵𤞛銺𠿺𨌄𤖋𦱬𦱼𦴓𦴱𦸟𦽱𦿑𧂥
ㄗㄥ 曾增憎罾繒矰橧磳驓璔僧噌潧鬙増熷䎖𡡑𢴣𤎰譄𦼏𨲯𡾽𥃙𦀓𢎒𢨉𤎯𦌝𧲅
ㄗㄥˇ 㽪
ㄗㄥˋ 贈甑繒罾䙢䵴𪒟𧸑䰝𪓱𪒧𩱭
ㄗㄨ 租蒩䶥𦭱𪙳𪙵
ㄗㄨˇ 組祖阻俎詛珇靻咀沮狙砠齟岨抯柤苴袓菹跙麆爼𥥐𥕑𥛜𤱌䔃𨂀𤕲𧇘𧀽
ㄗㄨˊ 足族卒嗾捽崒踿哫傶踤鏃娖珿蓗踀鷟卆䘚崪㵀鎐䯿𢫵𣨛㲞稡鉃𡻬䚝䃚𨄙𣤶㰵𠻏𦑋𨧰𧐞𧐈𨨳𢅪𨄕𩩠𪋍䱣𧞛𩺯𠯁𤴕𢪄㞺𥎫𥎩𧺒𨒳𥏁𥎽𥎼𥏀𥞯𢳈𧎲𩀥𣤺
ㄗㄨˋ 駔錊𧇿𧇣
ㄗㄨㄛ 嘬
ㄗㄨㄛˇ 左佐繓撮㝾䦈𠂇𧲭𨀨𡯛𢀡𤑧
ㄗㄨㄛˊ 昨作椊筰稓葃撮岝苲捽莋繓岞秨鈼㯜㸲䝫𣹧𦁎䎰𤿀𢂃𨞒𨣩𣠹𧮙𪎇𧺒𦰼𦄎𦅊𤑧𤾶
ㄗㄨㄛˋ 做作坐座酢祚鑿柞怍嘬胙阼葄夎醋迮㘴㘸㤰袏䞢飵糳𠡃㟇𥥏䋏䟭䟶䔘𨖐㘀𧃘𡊂𡯨𥅁𡹥𨝨𩜅𥽿𪎲𠆯㑅𡉡𠈨𡊎𢓓𦙐𠱯𢼎𡋲𣪲𦵬𧇈𨗩𨣋𣫞䥣𥽦𦦹𣫩𨰒𣫫𪚆
ㄗㄨㄟ 厜羧嶉纗朘脧嗺欈垖㕍塠䘒樶蟕𡱥㭰𩣷𦢿𢈡𧻝𡙭𣖱𦸺䮔𠪪𧗔𦆈𦢥𩥗𩦁𧥕
ㄗㄨㄟˇ 嘴璻觜嶊噿濢嶉臎𠲿𠲋𦈬𢊛𩲨𠾋𠿘𡁫
ㄗㄨㄟˋ 最罪醉檇蕞晬檌絊祽鋷墬嶵撮嘬蕝繓欈栬酔辠酻錊䯿㰎䘹𡽁㠑𪓌𦙈𢃒㨹𡡔𣩑𥧞𩚻𡽛𧎹𨢅𥳣𥳵𥩂𣅢𥄌𥦡𡈚𦋛𦸤𡽕𣤜𤑧
ㄗㄨㄢ 鑽躦劗鑚䡽𣀶𩎑𨇃𨏘𩍴𩎈
ㄗㄨㄢˇ 纂鑽纘籫篹纉鑚𥶊䂎𦙉䌣𥲻
ㄗㄨㄢˋ 賺鑽攥揝䬤櫕鑚𧸖𥎥
ㄗㄨㄣ 尊遵樽墫鐏嶟繜鷷壿燇譐鱒罇𤮐𦨆𢍜𥈪𡭆𢕰𨗕𢍲𨘊
ㄗㄨㄣˇ 撙噂墫僔譐𠟃䔿𦢐
ㄗㄨㄣˋ 俊圳捘鱒銌燇甽晙焌畯餕㑺儁㒞鵕𦿉𠱜𥞘𥊭𦪚𩯄𤕱𥡡
ㄗㄨㄥ 宗蹤縱綜棕鬃豵騣鬷翪熧倧惾猣稯艐嵕蝬從淙琮朡嵷賨鍐从従嵏椶嵸䅣賩踪踨磫縦㯶騌鬉鯮鯼苁㚇𥾺堫㣭㨑䖲葼㙡𤡆䁓緃𣯨䈦䊗䎫䢨䗥𩮀𪃊𧺣𡞧𤙷𨺡𥍺𥓻𨲇𩭎䡮𪖁𡵝𢓅𥾞𣍶𥅢𥞝𧿛𦩇𨲃𦂵𦑨𨌰𡽀𨲔𩬼𩰷𦄚𦔕𧐱𧱷𩰼𩭤𣞛𩱅𦆬𧲓𩱛
ㄗㄨㄥˇ 總摠傯熜朡蓗縱偬捴惣愡焧㷓憁総縂縦燪𥾺㧾揔㢔𧛝𥡥䙕𩮀𨍈𨎢𩮰䰌𢭇𥾞𥾜𠂳𢛌𥞝𤊘𤙹㹅𦀙𥠡𢵃𨍉𩬼𢷝𤑢𦆬
ㄗㄨㄥˋ 縱粽綜從瘲昮錝从従碂糉縦苁倊𥾺猔䝋䢨𠡻𠏭𣀒𩋯𩤗𢓅𥾞𢾸𧱍𦂵𧱭𦄚𦆬
ㄘ 疵庛雌ㄘ差趀骴恣呲跐鈭蠀髊䂣䧳𡰾𡥎𦍧𩾰𥰭𪘲𣥨𨠐𦑺𣜁𪚍𣢃𢀠𣧨𣨁𨒮𢀩𡳠𢊳𩨱𧾒𩪒𩪳
ㄘˇ 此佌泚玼跐皉𡘌𠈈𢓗𧺲𦐾𧺼𣖨𦼡𩢑𣥅𨒤𣸆𧿿𩢭
ㄘˊ 詞辭慈磁瓷雌祠疵茨粢餈柌嬨濨呲飺薋茲茈鈶鶿珁㤵䛐辝辞甆糍辤㘂䳄礠䭣𥿆𥻓䲿𤔲鴜鷀𣐑𧙈㖢䈘𣙼𥴺𧥝𦈱𦱳𣓄𨐕𦧦𣖲𤔧𤮀𥔵𦶉𩜴𩜼𨐲𩄚𩆃𩉋𪇔
ㄘˋ 次刺賜廁伺佽蛓莿朿栨蚝絘庛㓨㞖厠䳐𧊒𧧒𨲁螆䯸㢀𧠎𨋰𩾔𧑖𠤫𣐁𠕞㰷𦮏𨾅𣬌𧉠𠤣𥿴𧊸𢉪𧠵𧌐𧍤𧏀
ㄘㄚ 擦搽嚓䌨䃰𨺭𪊗𦷞
ㄘㄚˇ 礤
ㄘㄚˋ 囃攃遪䟃䵽𥗭𨗘𧾋𥗱
ㄘㄜˋ 冊策測側廁惻筴畟茦粣拺矠憡蓛簎鍘册厠萗筞墄嫧㨲箣䈟㩞䥷𣅾敇𥍡笧𡍫䊂㥽𥮮䜺𦔎䔴𣌧𤖷𠷽𥠉𩑠𩒄㩍𩾸𢿸𥰡𠕁𠕐𢙀𤰯𣆩𠞁𢄆䇲𥬰𥹤𠞦𢝔𥮫𦵪𨕟𢢥𥎏𤂄𥳯𥶪
ㄘㄞ 猜䞗㥒䟀䠕
ㄘㄞˇ 採彩采睬踩綵跴寀棌婇釆啋跐倸㥒䣋𤷕𢆅𤓳𣁝
ㄘㄞˊ 才財材裁纔釮㒲溨𨙰𦬁䴭𠠸𧴶𧚝𧵤𧚶𪌎𧸄
ㄘㄞˋ 蔡菜埰采縩寀䌨䰂𡣮𤁱𩧇𪇭𤓳𣞖𩁞
ㄘㄠ 操糙鄵喿劋幧矂鐰撡𣀉䎭𢻥𢿾
ㄘㄠˇ 草懆騲艸慅愺艹𠹊𦷣𦳕𦳱𢥼
ㄘㄠˊ 曹槽嘈漕螬艚嶆鰽蓸褿䜊鏪㜖䐬䄚䏆𩫥𧕐𤵥𡮦𣉿𦋿𥲍𩞄𣌼𣊛𥛼𦗠𦿩𣍘𡅰𤅍𣡘𧅝𧟔𧖤
ㄘㄠˋ 糙操肏襙造慥鄵艁䒃𥽹
ㄘㄡˊ 𧡣
ㄘㄡˋ 湊輳腠楱凑𤆑𦳿𦦅𦺀𧱪𨨯𣞜𩹀𪉮𣽵
ㄘㄢ 參餐驂縿墋毿磣襂贂鏒鬖叁参㕘飡叅湌傪曑㜗𢕕𧛡䉔䱗𩼇𡣏𥢽𦪜𦪫𩽐𡼶䬸𧾋
ㄘㄢˇ 慘憯朁噆黲惨𢠊㿊𩈼𢡖𢡄𦡗㦧
ㄘㄢˊ 殘蠶慚嬠帴蛬魙㱚残㥇蝅䙁慙䗞嬱𣦼䏼㜞㨻𥂥䳻蠺𣦻𠡡𢦸𢾃䝳𦺐𠠋𨞷𨅔𩈻𧅀𨽳𠫰𠡹𣧻𦚛𧌩䗝𦏋𧑯𨅕𩀧䘉𧕽
ㄘㄢˋ 燦孱璨粲澯摻澶㛑掺嘇撡㻮㣓薒謲𡛝𣻬㽩𣶡𥺤𤍝𩛳𤅒𩯞𪆶𡛒𡛹𥹏𡦞𤳒
ㄘㄣ 參嵾梫叁参㕘㟥叅㠁曑𣟹𠫰𡼶𥱄
ㄘㄣˊ 岑涔梣笒埁侺㞤㞥汵筨䈄䫈𦊃䰼䤁䅾𩷒𩻛䲋𨁊𣠟𣡎𣘕𥲌
ㄘㄤ 蒼倉滄艙傖鶬凔嵢愴瑲謒蹌仺篬𠥐𩝞𨜾𤚬𧕨𠖸𡶍𣳁𦭆𣶟𤾙𤀅𩀞
ㄘㄤˇ 駔
ㄘㄤˊ 藏鑶蔵匨𣻟㵴𡾻㶓𡍱𤖋𢧿𢨑
ㄘㄤˋ 䢢䅮賶
ㄘㄥ 噌
ㄘㄥˇ 噌
ㄘㄥˊ 曾層嶒鄫碀驓竲𦠇䁬䉕𡪠𢅋𤛢𡿘
ㄘㄥˋ 蹭㣒𠟂
ㄘㄨ 粗麤觕麆麁麄𤿚𥅗𥼡𧆓𪋙𡔘𡔙
ㄘㄨˇ 𦷔𤛏
ㄘㄨˊ 殂徂鼀䣯䢐䵸𦯣𣧫𡲂𣨐𡲡𠹨𣨖𣩋𧱑𨖆𪓡𪓵𪓰
ㄘㄨˋ 促醋簇蹴蔟蹙猝卒錯趣趨鏃瘯踧槭梀噈殧鼀厝戚數岨唶酢碏踀憱顣卆䘚趋数誎䛤趗縬䠞蹵齚㰗𢪃𢈠𣢰𥥐𥾛𠴫𡞜𢉨鉃𢳇𧻻𦟠𩒛䃚䥄䥘𦇰𠥾𤗁䟟𢄧𤠽𦠁𩐡𥪱𥼀𥳛𧞛𪕝𪚯𠑯𥷼𨈄𧻫𨀚𧻬𧼝𧻽𨉌𠏔𦂎𧼜𦄉𦢑𨣋𥷛𨇳
ㄘㄨㄛ 搓撮磋蹉蒫遳髊差莏傞瑳醝齹𪙉𣨎𤠝𥭯𥭭𦹇𢤎𢀠𢲻𧇇𤨛𢷼𤑧𨇏𪘠𪘡𪘓𪙐𪙸𪙼
ㄘㄨㄛˇ 瑳脞縒硰䂳𤳅䰈𢏬𤪩𩯸
ㄘㄨㄛˊ 瘥矬鹺痤醝嵯蔖蒫㭫虘睉䖕嵖嵳𣩈㽨𥰭䑘𥲽𪉵䴾𣖵𥮭䣜𩄝𨇇𠪉𥉢𡽓𥀞𨢚𪉤𡾑𤳶𤻸𨣣𪍰𪊁𪊈𪎀𪎁
ㄘㄨㄛˋ 錯措挫銼撮剉厝莝侳剒蓌昔蕞庴棤碏縒莡㫺逪襊𢒐𧪘䱜䥘𪘧𢫬𢚂𨛏𢯽𦄙𩯉𪒙𠋿𠞐𢲖𠟏𠪞𢵄𥕉𨗀𧜮𧜱𦆧𦇈𧭯𧭨𩻶
ㄘㄨㄟ 摧催崔嗺墔磪榱衰凗膗縗㜠獕槯䙑𧽠𢕘𤛍𧼬𥼂𨄍𠌺𧜸
ㄘㄨㄟˇ 璀趡漼洒踓鏙熣䧽㵏𣿒皠䊫𥼺𩮴𣻿𧳚𨿐𣿓
ㄘㄨㄟˊ 凗慛
ㄘㄨㄟˋ 翠脆粹悴瘁萃啐淬倅毳焠竁膬綷膵脺濢碎椊嶉噿璻伜忰砕粋翆脃琗㯜䢪顇臎襊韢紣啛㓹㱖䃀𧚥㝮𡪣㯔䄟𥲣𣃍𢂕𠗚𠩪𠞿𢄸𧎃𢡈𥻮𥲨𣰚𥨢𥳈𥼛𦦣𧑎𩣰𨅎𣟈㳃𦬡𠵒𦐜𣯝𣰖𧜮𧜱𨄒𡬃
ㄘㄨㄢ 攛躥鋑汆鑹𨭾𢺱
ㄘㄨㄢˊ 攢巑劗欑攅櫕穳𥣪𢖑𥝺㠝
ㄘㄨㄢˋ 竄篡爨篹纂攥熶䞼簒㸑𤐲𢸥𥶊殩𣡥𥦻𤍾𥨗𤏷𥨒𤑖𥨬𤓟𤓥𥎤
ㄘㄨㄣ 村皴踆邨澊竴𨙯𨙲𦫝
ㄘㄨㄣˇ 忖刌𢩭𥣚𥢎𠚳𥢞
ㄘㄨㄣˊ 存袸蹲拵洊栫珔𨚲𧽾𡥅𠩯𨀛𧾬
ㄘㄨㄣˋ 寸吋籿
ㄘㄨㄥ 匆聰從囪璁瑽樅驄蓯鏦熜棇暰蔥瞛蟌鍐叢囟濍从匇囱忩怱従悤楤葱㜡漗聡樬緫聪聦䪿樷䤸繱鏓顖騘㞱枞苁𦱔䓗𢊕𣎗䐫䗓䢨𥎋篵鍯䡯𨬃𦇎𨑪𢈳𡟟𡹸𢔩㥖𦝰𢐔𥮨𥡬𨂴𨢨𨲧䰌𠚁𢓅𢈣𦯎𢉛䐋𤥼𨥎𦕻𦴜𧊫𧋙𨔩𥍷𨌪𨦱𨡮𩣢𩣭𧁗𨣭𨣼
ㄘㄨㄥˇ 衳幒䙂䘴𧝮𧛤𧜢
ㄘㄨㄥˊ 從叢淙琮悰潀漎賨錝婃孮徖慒摐蓯藂欉从従㧿碂誴賩樷灇爜𠤰苁𢃏潨䢨㼻䳷𠂥㗰𩀨𥵫𧓏𧬖𤄓𩯍𦇱𠠴𢓅𨒀𨒁𨑢𣽇𩀰𪚽䕺𪅜𧹆𧆁
ㄘㄨㄥˋ 欉藂謥䈡𥣙𧩟𧩪
ㄙ 司思斯絲私撕廝鷥嘶ㄙ澌緦偲罳颸禠虒楒鍶凘泀蕬鉰俬覗榹禗蜤磃謕蟴鼶糸葸螄諰簁厶㺨㚸恖媤愢㒋厮簛蟖騦籭𢇁𢈶𦮺㴲㺇𢠹𥯨䔮㽄𥕶䡳䫢䰄鐁䇁䲉𦌿㟃𤆟𠖓𢛥𢊀𡡒𥠱𦸷𣚄𥐀𦽕𧀚𩺛𪆁𥜰𤣵𠈩𣂕𡴓𢆿𢍄𠂺𢇆𢙦𥄶𠃼𠗧𢊐𤠒𤭦𤭣𥓚𥯱𦋮𦃞𧏕𧏍𤮓𧪷𩗮𪆗𥩎
ㄙˇ 死𣦹𤟧𦫺𠒁𠑾𣦸𣧇𦭀𣥴𤯽
ㄙˋ 四似賜嗣飼寺肆祀食俟伺泗巳耜儩姒笥駟兕涘柶汜肂貄蕼洍思廁圮怬羠鈶𣲆佀㚶孠杫泤䇃㭒牭恖厠䎣釲竢鈻禩瀃亖攺𤝽㹭𥾩㸻𥿅逘𧣛𥏳𨽸㣈𣩠㹑𩬶𠳎𤬴𠋨𠋡𥹊𥒲𧱅䦙𩵗𧳙𣙼𨽼𧀩𩸟𠚦𠁤𦉭𠒅𠒃𠒊𣱇𦓨娰𡱢𢈟𢓪𥘰𥙉𩚅𩚆𤉡𠋑𢉡𧰽𦓵𧱇𧱃𠭾𣘩𧣶𧤄𠮇𥛴𨐠𩭞𧀳𦘨
ㄙㄚ 撒仨三弎𢲳
ㄙㄚˇ 灑撒靸洒𨐘𥸗𣶇𣶓𣹍𩎕𢲳𢴻𤂢
ㄙㄚˋ 薩卅趿颯攃馺隡蔡摋鎝躠㚫䑪䬃蕯櫒䑥㒎𠎷𠿓𢶍𦻅㽂䊛𩐅䙣𨇨𢓔𣬬𠱡𩨞𡐥𩗞𢕬𣜂𥻦𦠿𧀕𨆂𡄳𨷆𩆅𧭝𠵡𩗁𩗉𥼆𦼩𨃛𣞖𧞁𨆳
ㄙㄚ˙ 挲薩挱
ㄙㄜˋ 色塞瑟圾嗇澀穡濇轖譅銫璱翜犞飋濏摵鏼㻎歮趇雭㥶澁㻭懎㩙䉢繬穯𥤧渋䊂𡠽歰𩂨𠎸𥈽㒊𢡉㱇𢷾瀒𦆄𦐅𢞮𨋭𠟦𠟩𠢳𣽤𧨷𩂺𩃑𠿗𥱁𩊯𠽼𡫟𣚟𤁧𤖗𧒗𩇣𩕡𣥒𣴻𡘼𩇰𠹫𡺶𢊎𣹣𤲝𠻮𡩿𢞝𠾂𣾫𤨝𡚉𣿠𤳋𢿿𤁍𡫩𢋦𥢺𡫳𢤑𤪴𥣱𡫼𢒸𡔂𢥛𢥜𣤻𩍙𩏫𩰙
ㄙㄞ 塞鰓腮毢揌思偲毸恖愢噻㩙顋䚡𪃄𡴓𢍄𡺶𡫼𡔂
ㄙㄞˇ 㘔䈢𥯲𣤻
ㄙㄞˋ 賽塞僿㩙簺𦞫𡺶𡩿𡫼𡔂
ㄙㄟ 塞㩙
ㄙㄠ 艘騷繅搔臊慅溞颾鱢橾璅瘙糔繰㮴䑹鰺𠋺㺑𦞣㿋𢫺𢔳㥰𤠘𣉔𨲆𥰱𨪊𧂩𩮚鰠𤜶𢫼𢭒𣔱𤔢𦃐𦃨𦠨𩷃𦅒𢸪𩙈𩻦
ㄙㄠˇ 掃嫂埽㛐㛮䕅𢱥𦺋
ㄙㄠˋ 掃臊氉瘙埽髞𦞣𢤁𪍽𦕏𢜶㲧𨧪𨃣𧑫𢮞𢱥𢠡𩫦𪍻
